condition,series,suite_root,dataset,chunk_size,segment_selection_mode,llm_provider,llm_engine,temperature,top_k,max_iter,seed,repeat_id,train_f1,val_f1,test_f1,precision,recall,point_f1,point_f1_fixed,point_f1_oracle,point_f1pa,affiliation_f1,event_f1pa,rule_num_lines,rule_num_conditions,rule_num_thresholds,prompt_rows,avg_chunk_anomaly_density,max_chunk_anomaly_density,train_val_gap,val_test_gap,runtime_sec,token_count_detection,token_count_repair,token_count_review,split_train_total_points,split_train_anomaly_point_count,split_train_anomaly_event_count,split_train_anomaly_point_ratio,split_train_anomaly_event_ratio,split_val_total_points,split_val_anomaly_point_count,split_val_anomaly_event_count,split_val_anomaly_point_ratio,split_val_anomaly_event_ratio,split_test_total_points,split_test_anomaly_point_count,split_test_anomaly_event_count,split_test_anomaly_point_ratio,split_test_anomaly_event_ratio,split_flags_test_event_count_lt_5,split_flags_test_anomaly_point_count_lt_5
anomaly_centered,88cf3a776ba00e7c,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,88cf3a776ba00e7c,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,0.1285961326835403,0.18682505399568033,0.11104161655039693,0.003745318352059925,0.07142857142857142,0.0427191049330395,0.0427191049330395,0.11104161655039693,0.20390743550834578,0.002101281781886951,0.007117437722419835,27,6,36,625,0.712,0.712,-0.058228921312140025,0.0757834374452834,1066.377717256546,19846,0,0,36644,1437,28,0.03921515118436852,0.0007641087217552669,9161,515,6,0.056216570243423206,0.0006549503329330859,19631,1154,14,0.05878457541643319,0.0007131577606846315,False,False
anomaly_centered,88cf3a776ba00e7c,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,88cf3a776ba00e7c,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,2,0.21940071102082273,0.17032967032967034,0.11104161655039693,0.24999999999999994,0.14285714285714285,0.10020876826722339,0.10020876826722339,0.11104161655039693,0.48271821909783197,0.012886597938144331,0.18181818181818135,35,4,26,625,0.712,0.712,0.049071040691152396,0.0592880537792734,803.0120799541473,19999,0,0,36644,1437,28,0.03921515118436852,0.0007641087217552669,9161,515,6,0.056216570243423206,0.0006549503329330859,19631,1154,14,0.05878457541643319,0.0007131577606846315,False,False
anomaly_centered,88cf3a776ba00e7c,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,88cf3a776ba00e7c,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,3,0.14705882352941177,0.11302211302211303,0.11104161655039693,0.01694915254237288,0.14285714285714285,0.05524615727333481,0.05524615727333481,0.11104161655039693,0.4174454828660432,0.002985965959988056,0.03030303030303011,52,8,30,625,0.712,0.712,0.03403671050729874,0.001980496471716095,767.290474653244,20099,0,0,36644,1437,28,0.03921515118436852,0.0007641087217552669,9161,515,6,0.056216570243423206,0.0006549503329330859,19631,1154,14,0.05878457541643319,0.0007131577606846315,False,False
anomaly_centered,88cf3a776ba00e7c,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,88cf3a776ba00e7c,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,4,0.17094499294781382,0.1323251417769376,0.11104161655039693,0.00796812749003984,0.14285714285714285,0.08507135016465422,0.08507135016465422,0.11104161655039693,0.3855005753739926,0.0031948881789137388,0.015094339622641409,40,9,30,625,0.712,0.712,0.03861985117087621,0.021283525226540673,773.5214800834656,19809,0,0,36644,1437,28,0.03921515118436852,0.0007641087217552669,9161,515,6,0.056216570243423206,0.0006549503329330859,19631,1154,14,0.05878457541643319,0.0007131577606846315,False,False
anomaly_centered,88cf3a776ba00e7c,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,88cf3a776ba00e7c,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,5,0.1366258942995615,0.12874908558888076,0.11104161655039693,0.013888888888888888,0.14285714285714285,0.04561003420752566,0.04561003420752566,0.11104161655039693,0.41079092581238463,0.00242600679281902,0.025316455696202368,54,8,43,625,0.712,0.712,0.00787680871068075,0.01770746903848383,775.5222289562225,20655,0,0,36644,1437,28,0.03921515118436852,0.0007641087217552669,9161,515,6,0.056216570243423206,0.0006549503329330859,19631,1154,14,0.05878457541643319,0.0007131577606846315,False,False
anomaly_centered,9ee5879409dccef9,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,9ee5879409dccef9,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,0.4887152777777778,0.16996205312562412,0.29457364341085274,0.9999999999999989,0.07142857142857142,0.29457364341085274,0.29457364341085274,0.29457364341085274,0.7805695142378554,0.019801980198019802,0.13333333333333316,47,9,46,310,0.822581,0.822581,0.31875322465215367,-0.12461159028522861,839.3096671104431,13985,0,0,36651,1295,26,0.03533327876456304,0.0007093940138058989,9163,851,9,0.09287351304158027,0.0009822110662446796,19635,799,14,0.04069264069264069,0.00071301247771836,False,False
anomaly_centered,9ee5879409dccef9,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,9ee5879409dccef9,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,2,0.20856610800744882,0.27336999214454044,0.4324712643678161,0.9999999999999996,0.14285714285714285,0.4324712643678161,0.4324712643678161,0.4324712643678161,0.8285371702637883,0.019769357495881382,0.24999999999999975,59,10,48,310,0.822581,0.822581,-0.06480388413709162,-0.15910127222327564,838.198915719986,14293,0,0,36651,1295,26,0.03533327876456304,0.0007093940138058989,9163,851,9,0.09287351304158027,0.0009822110662446796,19635,799,14,0.04069264069264069,0.00071301247771836,False,False
anomaly_centered,9ee5879409dccef9,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,9ee5879409dccef9,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,3,0.09612590799031479,0.16996205312562412,0.14834778532927115,0.001851851851851852,0.07142857142857142,0.14814814814814814,0.14814814814814814,0.14834778532927115,0.2021924482338609,0.0015329586101175269,0.0036101083032490486,68,12,56,310,0.822581,0.822581,-0.07383614513530934,0.021614267796352976,907.9580588340759,14319,0,0,36651,1295,26,0.03533327876456304,0.0007093940138058989,9163,851,9,0.09287351304158027,0.0009822110662446796,19635,799,14,0.04069264069264069,0.00071301247771836,False,False
anomaly_centered,9ee5879409dccef9,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,9ee5879409dccef9,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,4,0.4602814344076259,0.19337511190689344,0.7181556195965417,0.9999999999999989,0.07142857142857142,0.7181556195965417,0.7181556195965417,0.7181556195965417,0.7993492407809105,0.023157894736842106,0.13333333333333316,47,10,53,310,0.822581,0.822581,0.2669063225007325,-0.5247805076896483,646.1541035175323,13948,0,0,36651,1295,26,0.03533327876456304,0.0007093940138058989,9163,851,9,0.09287351304158027,0.0009822110662446796,19635,799,14,0.04069264069264069,0.00071301247771836,False,False
anomaly_centered,9ee5879409dccef9,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,9ee5879409dccef9,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,5,0.32042520880789677,0.16996205312562412,0.3837953091684435,0.013986013986013986,0.14285714285714285,0.3837953091684435,0.3837953091684435,0.3837953091684435,0.5807805287452785,0.008974358974358974,0.025477707006369265,43,5,26,310,0.822581,0.822581,0.15046315568227264,-0.2138332560428194,869.2636096477509,14083,0,0,36651,1295,26,0.03533327876456304,0.0007093940138058989,9163,851,9,0.09287351304158027,0.0009822110662446796,19635,799,14,0.04069264069264069,0.00071301247771836,False,False
event_bounded_reference,88cf3a776ba00e7c,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini,88cf3a776ba00e7c,250,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,0.07547070717680733,0.10644894584539065,0.11104161655039693,0.9999999999999997,0.21428571428571425,0.005185825410544512,0.005185825410544512,0.11104161655039693,0.30737769388076097,0.35294117647058826,0.3529411764705878,45,9,43,15,0.333333,0.333333,-0.03097823866858332,-0.004592670705006283,374.12979078292847,8218,0,0,36644,1437,28,0.03921515118436852,0.0007641087217552669,9161,515,6,0.056216570243423206,0.0006549503329330859,19631,1154,14,0.05878457541643319,0.0007131577606846315,False,False
