dataset,series,condition,llm_provider,llm_engine,temperature,top_k,max_iter,seed,repeat_id,chunk_size,run_dir,rule_path,held_out_window_pool_count,heldout_anomaly_support_rate,heldout_normal_violation_rate,heldout_support_gap,heldout_anomaly_window_count,heldout_normal_window_count,heldout_total_window_count,local_evidence_support_rate,local_normal_reference_violation_rate,local_support_gap,trace_path,selected_candidate_type,split_test_total_points,split_test_anomaly_point_count,split_test_anomaly_event_count
88cf3a776ba00e7c,88cf3a776ba00e7c,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_01,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_01/rule_iter0_3.py,37,0.4444444444444444,0.39285714285714285,0.05158730158730157,9,28,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_01/selection_trace_iter_451_call_0.json,medium_anomaly_centered,19631,1154,14
88cf3a776ba00e7c,88cf3a776ba00e7c,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_02,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_02/rule_iter0_0.py,37,0.3333333333333333,0.35714285714285715,-0.023809523809523836,9,28,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_02/selection_trace_iter_451_call_0.json,medium_anomaly_centered,19631,1154,14
88cf3a776ba00e7c,88cf3a776ba00e7c,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_03,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_03/rule_iter0_0.py,37,0.1111111111111111,0.25,-0.1388888888888889,9,28,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_03/selection_trace_iter_451_call_0.json,medium_anomaly_centered,19631,1154,14
88cf3a776ba00e7c,88cf3a776ba00e7c,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_04,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_04/rule_iter0_2.py,37,0.1111111111111111,0.14285714285714285,-0.031746031746031744,9,28,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_04/selection_trace_iter_451_call_0.json,medium_anomaly_centered,19631,1154,14
88cf3a776ba00e7c,88cf3a776ba00e7c,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_05,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_05/rule_iter0_2.py,37,0.2222222222222222,0.35714285714285715,-0.13492063492063494,9,28,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/88cf3a776ba00e7c/chunk_250/run_05/selection_trace_iter_451_call_0.json,medium_anomaly_centered,19631,1154,14
9ee5879409dccef9,9ee5879409dccef9,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_01,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_01/rule_iter0_1.py,37,0.16666666666666666,0.04,0.12666666666666665,12,25,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_01/selection_trace_iter_451_call_0.json,short_anomaly_centered,19635,799,14
9ee5879409dccef9,9ee5879409dccef9,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_02,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_02/rule_iter0_1.py,37,0.16666666666666666,0.0,0.16666666666666666,12,25,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_02/selection_trace_iter_451_call_0.json,short_anomaly_centered,19635,799,14
9ee5879409dccef9,9ee5879409dccef9,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_03,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_03/rule_iter0_4.py,37,0.6666666666666666,0.64,0.026666666666666616,12,25,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_03/selection_trace_iter_451_call_0.json,short_anomaly_centered,19635,799,14
9ee5879409dccef9,9ee5879409dccef9,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_04,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_04/rule_iter0_2.py,37,0.3333333333333333,0.0,0.3333333333333333,12,25,37,1.0,0.0,1.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_04/selection_trace_iter_451_call_0.json,short_anomaly_centered,19635,799,14
9ee5879409dccef9,9ee5879409dccef9,evidence,chatgpt-oauth,gpt-5.4-mini,0.0,5,1,8,1,250,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_05,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_05/rule_iter0_4.py,37,0.3333333333333333,0.2,0.1333333333333333,12,25,37,0.0,0.0,0.0,/mnt/c/Users/hyun/Documents/papers/argos/experiments/final_decision_phase2_comparison_gpt54mini/anomaly_centered/9ee5879409dccef9/chunk_250/run_05/selection_trace_iter_451_call_0.json,short_anomaly_centered,19635,799,14
